iter	Recall	Logloss
0	0.7707006369	0.6713950255
1	0.7324840764	0.6509387232
2	0.7898089172	0.6366453327
3	0.8152866242	0.6202194645
4	0.8025477707	0.6063015929
5	0.821656051	0.5928625699
6	0.821656051	0.5772201128
7	0.8343949045	0.5668720087
8	0.8407643312	0.5510883976
9	0.847133758	0.5407800829
10	0.847133758	0.5293888342
11	0.8343949045	0.5195463466
12	0.847133758	0.5145509779
13	0.847133758	0.5061422496
14	0.847133758	0.4968083229
15	0.8535031847	0.4901689587
16	0.847133758	0.4830991919
17	0.8407643312	0.4755778579
18	0.8535031847	0.4705107605
19	0.847133758	0.4647780863
20	0.8535031847	0.4596473895
21	0.8598726115	0.4550121868
22	0.847133758	0.4491639454
23	0.8535031847	0.4472338275
24	0.8407643312	0.442352759
25	0.847133758	0.4382483845
26	0.8662420382	0.4338766128
27	0.872611465	0.4293104508
28	0.8535031847	0.4254276213
29	0.8789808917	0.420570112
30	0.8789808917	0.4168034759
31	0.8662420382	0.4145280634
32	0.872611465	0.4082603121
33	0.8789808917	0.4026077884
34	0.8917197452	0.4004059152
35	0.8917197452	0.397235969
36	0.898089172	0.392926813
37	0.898089172	0.3897884503
38	0.898089172	0.3874673165
39	0.898089172	0.3851794597
40	0.898089172	0.3840352652
41	0.898089172	0.3818193863
42	0.898089172	0.3794056806
43	0.898089172	0.3768734253
44	0.898089172	0.373814379
45	0.898089172	0.3713117092
46	0.8917197452	0.3688083053
47	0.8917197452	0.3672603357
48	0.8917197452	0.3649738408
49	0.898089172	0.3620114335
50	0.898089172	0.3601207207
51	0.898089172	0.358158295
52	0.8917197452	0.3570034601
53	0.8917197452	0.3538697336
54	0.8917197452	0.3517954631
55	0.8853503185	0.3493137264
56	0.8853503185	0.3478880325
57	0.8917197452	0.3464987191
58	0.8917197452	0.3455110152
59	0.8917197452	0.3445217363
60	0.8853503185	0.3424232721
61	0.8853503185	0.3409811155
62	0.8789808917	0.3388320354
63	0.8853503185	0.3372314839
64	0.9044585987	0.3350180787
65	0.9044585987	0.3341520866
66	0.898089172	0.3332504589
67	0.9044585987	0.3323304143
68	0.898089172	0.3300893966
69	0.898089172	0.3275120052
70	0.9044585987	0.3261264824
71	0.9044585987	0.3242346625
72	0.898089172	0.3226634821
73	0.9044585987	0.3214447928
74	0.9044585987	0.3202539662
75	0.9044585987	0.3187637835
76	0.9044585987	0.3170355172
77	0.9044585987	0.3156911397
78	0.9044585987	0.3149134004
79	0.9108280255	0.3139732537
80	0.9108280255	0.3128288987
81	0.9108280255	0.3109540836
82	0.9171974522	0.3081728265
83	0.923566879	0.3067591288
84	0.9299363057	0.3058942246
85	0.9299363057	0.3040785594
86	0.9299363057	0.3028234422
87	0.9299363057	0.3017486045
88	0.9299363057	0.3003666907
89	0.9299363057	0.29854186
90	0.9299363057	0.2974893374
91	0.9299363057	0.2949625691
92	0.9299363057	0.2933009014
93	0.9299363057	0.2919558701
94	0.9299363057	0.2901786363
95	0.923566879	0.2896206808
96	0.9299363057	0.2886566472
97	0.923566879	0.2877122415
98	0.923566879	0.2868860624
99	0.923566879	0.2862296986
100	0.923566879	0.2846368089
101	0.923566879	0.2836365605
102	0.923566879	0.2833474865
103	0.923566879	0.2820889833
104	0.923566879	0.2804827202
105	0.923566879	0.2785782496
106	0.9299363057	0.2767362984
107	0.9299363057	0.2749739279
